fish,weigth,eye,head,stdlen,forklen,sidelen,cont1,cont2,area1,area2,sidehgt
127,125.98,1.04,5.65,19.61,21.92,22.7,50.7,51.95,70.7,79.27,5.15
128,169.61,1.13,5.96,20.44,22.14,23.12,50.67,51.37,69.9,77.67,5.01
129,163.22,1.12,6.17,21.33,22.94,24.01,53.67,55.13,83.3,90.4,5.63
130,158.01,1.11,5.63,20,22.01,22.98,50.92,52.32,74.49,80.18,5.24
131,169,1.13,5.84,20.29,22.02,23.06,51.51,52.26,74.91,83.59,5.17
132,160.17,1.12,6.07,21.57,23.5,24.62,55.05,56.52,82.51,89.27,5.63
133,222.98,1.4,6.36,23.32,25.29,26.4,58.91,60.18,102.7,111.1,6.28
134,132.6,1.18,6.03,18.74,20.47,21.5,48.27,50.16,69.35,75.73,5.25
135,185.46,1.23,6.55,22.67,24.35,25.31,57.6,58.93,92.35,100.24,5.79
136,176.01,1.16,6.51,21.54,23.49,24.6,55.55,57.89,85.01,93.96,5.63
137,141.49,1.13,5.53,19.02,20.98,22.16,49.24,50.01,66.69,75.23,5.07
138,140.77,1.17,6.02,20.24,22.33,23.35,52.26,53.83,74.69,83.13,5.24
139,188.12,1.15,6.46,22.53,24.51,25.41,56.63,57.8,93.62,102.39,6.01
140,167.31,1.03,6.1,21.47,23.87,24.76,54.32,55.71,84.49,91.33,5.59
141,125.43,1.23,6.12,20.88,22.69,23.82,52.43,53.87,73.86,82.55,5.15
142,143.32,1.17,5.68,20.09,22.11,23.27,51.49,52.42,71.34,78.8,5.1
143,202.94,1.13,6.42,22.7,24.81,26.04,57.95,59.19,96.43,105.63,6.13
144,145.83,1.08,5.99,19.57,21.77,22.66,50,51.49,70.79,77.28,5.12
145,191.33,1.26,6.19,21.44,23.54,24.71,55.26,56.76,84.18,93.66,5.71
146,199.54,1.28,6.81,22.96,25.49,26.62,61.11,62.84,99.9,112.32,6.09
147,158.22,1.18,5.95,20.85,23.17,24.15,55.13,57.16,80.55,92.26,5.24
