fish,weigth,len,hgt,wdt,eye,head,stdlen,forklen,sidelen,cont1,cont2,area1,area2,sidehgt,toplen,topwdt,eyedst,area3,area4
42,36.74,14.80,3.00,1.90,0.90,3.58,12.87,14.00,14.71,33.17,33.72,28.87,31.43,3.21,14.75,2.03,1.32,17.67,20.64
43,31.24,14.00,2.90,1.70,0.89,3.81,12.56,14.10,14.64,31.89,32.94,27.53,30.63,3.81,14.45,2.09,1.29,18.06,19.92
44,38.59,15.10,2.90,1.80,1.00,3.61,13.04,14.32,15.03,33.28,34.07,30.00,32.74,3.13,15.03,2.09,1.33,21.32,23.51
45,40.64,14.90,3.20,2.00,0.99,3.86,13.45,14.74,15.58,35.06,35.56,32.88,36.01,3.46,15.45,2.42,1.43,22.93,25.05
46,33.46,14.70,2.80,1.80,0.99,3.76,13.37,14.66,15.38,34.01,34.78,30.51,33.26,3.16,14.61,1.89,1.23,19.15,20.84
47,18.88,12.20,2.40,1.50,0.90,3.30,10.42,11.55,12.21,26.48,26.78,17.98,20.85,2.50,12.79,1.63,0.94,14.00,14.93
48,33.15,14.50,3.00,1.80,0.94,3.63,12.49,13.86,14.38,32.09,32.80,27.27,30.36,3.21,15.04,2.03,1.19,16.92,17.91
49,42.01,15.20,3.30,2.00,0.95,3.98,13.37,15.17,15.88,35.86,36.43,34.33,38.90,3.53,16.50,2.08,1.04,20.79,23.11
50,29.69,14.10,2.80,1.80,0.91,3.60,11.90,13.42,14.13,31.47,31.88,25.89,29.17,2.99,14.82,1.89,1.19,18.01,18.27
51,438.34,34.50,6.90,4.40,1.80,8.77,31.15,33.33,35.32,78.68,80.42,164.72,182.59,7.59,35.86,4.73,3.14,92.22,102.02
52,485.18,36.30,7.20,4.40,1.99,10.57,36.01,38.79,40.47,90.00,92.81,226.47,239.86,8.54,38.82,5.44,3.37,116.99,128.55
53,257.27,29.20,5.80,3.40,1.56,7.60,25.09,27.30,29.04,66.06,67.94,113.76,128.72,6.08,29.94,3.87,2.97,62.13,69.06
54,451.21,35.20,6.60,4.10,1.80,8.91,30.81,33.61,35.38,80.24,82.56,168.91,187.72,7.11,36.00,4.44,3.23,112.56,121.91
55,352.04,31.90,6.60,4.00,1.89,8.31,29.66,32.10,34.74,76.64,78.60,153.22,174.01,7.32,41.75,4.34,2.95,93.83,98.86
56,405.02,34.30,6.50,4.10,1.59,7.39,25.72,27.71,28.48,64.40,66.07,108.89,119.13,5.88,35.23,4.63,3.09,114.56,124.56
57,490.91,31.50,7.40,4.90,1.80,8.38,30.04,32.11,33.87,75.51,77.50,157.45,173.84,7.66,38.30,5.25,3.88,109.57,115.30
58,435.36,34.00,7.20,4.60,1.67,8.85,31.33,33.34,34.96,79.08,81.15,167.16,184.80,7.83,34.55,4.82,3.02,99.10,107.31
59,625.15,38.90,7.70,5.30,1.73,9.48,34.70,36.98,38.92,86.84,89.95,202.25,223.30,8.42,39.47,5.40,3.39,135.32,147.13
60,462.69,34.60,7.40,4.50,1.53,7.82,27.08,28.99,30.43,68.22,69.79,125.29,137.87,6.70,37.54,5.20,3.24,109.53,114.42
61,439.38,33.90,6.90,4.40,1.70,8.87,30.08,32.67,33.99,75.71,78.61,161.16,175.62,7.87,34.76,4.81,3.11,114.15,125.81
62,466.87,35.80,7.70,4.50,1.72,9.51,32.90,35.30,37.26,83.12,85.84,180.40,198.20,7.80,36.73,5.09,2.78,107.64,114.65
63,465.01,33.60,7.10,4.40,1.78,9.00,31.55,34.12,35.60,80.12,82.31,182.85,201.17,8.16,35.10,5.09,2.83,110.14,120.65
64,528.53,35.70,7.30,4.80,1.70,8.96,31.91,34.13,36.30,80.64,82.62,180.43,200.53,8.20,36.81,5.33,3.16,114.86,124.77
65,392.27,29.40,6.70,4.00,1.78,8.21,27.00,29.32,30.95,70.26,72.23,132.00,148.07,7.02,31.91,4.60,2.97,83.21,89.23
66,408.79,33.50,6.40,4.20,1.60,8.16,29.70,32.06,34.01,75.14,76.96,153.31,169.38,7.03,34.50,4.71,3.25,111.37,122.55
67,437.91,33.60,7.60,4.60,1.60,8.35,29.36,31.89,33.35,75.74,77.85,152.68,173.79,7.35,34.79,4.95,2.67,102.59,113.79
68,386.52,32.50,6.70,4.30,1.57,8.11,28.90,31.21,32.72,72.87,74.76,145.83,161.43,7.26,33.24,4.53,3.07,101.00,109.00
69,559.13,37.10,7.40,5.00,1.73,9.40,33.63,37.05,38.62,88.23,91.82,207.87,232.42,8.56,40.54,5.44,3.41,119.67,130.11
70,578.18,37.40,7.70,4.90,1.55,9.26,33.07,35.32,37.24,83.06,86.07,188.74,208.64,8.23,40.54,5.69,3.27,113.38,117.22
71,360.78,32.60,6.70,4.10,1.41,8.17,28.98,31.10,32.93,73.56,75.20,144.07,156.91,6.95,33.15,4.20,3.21,99.06,108.52
72,535.57,36.70,7.70,4.90,1.83,9.65,34.03,36.59,38.53,86.57,89.88,206.35,229.42,8.61,37.48,5.52,3.49,126.87,144.81
73,406.59,33.40,6.90,4.60,1.68,8.55,30.98,33.72,34.99,79.79,82.56,168.68,183.64,7.62,33.05,4.73,2.70,113.54,119.91
74,652.21,37.60,8.30,5.70,1.53,9.23,31.96,34.75,36.23,80.94,86.89,187.57,202.89,8.65,40.57,6.23,3.61,122.91,133.50
75,423.68,33.50,7.30,4.70,1.61,8.91,30.08,32.40,34.27,76.89,79.71,142.13,155.53,7.26,34.71,4.76,2.93,107.15,113.16
76,424.32,33.00,7.30,4.80,1.79,8.58,29.19,31.64,33.39,73.61,77.94,153.37,168.42,7.73,32.43,4.82,2.79,91.40,97.40
77,519.64,36.20,7.70,5.00,1.48,9.15,33.67,36.25,38.07,84.97,87.18,197.92,212.66,8.41,39.46,5.74,3.32,114.88,123.90
78,431.37,34.80,7.20,4.60,1.58,9.60,32.35,34.92,36.72,79.77,82.85,176.44,193.33,7.91,35.65,4.62,3.02,109.00,121.89
79,493.65,35.90,7.20,4.80,1.55,9.32,33.21,35.83,38.33,83.70,85.95,193.92,212.06,8.02,38.41,5.29,3.07,115.61,123.82
80,440.09,34.50,6.90,4.40,1.48,9.00,31.89,34.71,36.30,81.33,84.44,176.45,197.75,7.76,35.63,4.71,3.07,108.99,118.73
81,497.98,35.30,7.30,4.70,1.73,10.09,32.98,35.61,37.24,82.99,85.67,189.76,207.73,8.41,36.38,5.33,2.98,114.39,121.69
